"Broadcast type","Coverage","Date","Regions"
" Feh Channel
","Fire Emblem Heroes
","April 9, 2018
","Japan, North America, Europe
"

" Indie World
","Indie games for the Nintendo Switch
","May 11, 2018
","Japan
"

" Nintendo Direct: E3 2018
","Nintendo Switch games, with a focus on Super Smash Bros. Ultimate
","June 12, 2018
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","July 19, 2018
","Japan, North America, Europe
"

" Super Smash Bros. Ultimate Direct
","Super Smash Bros. Ultimate
","August 8, 2018
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","August 20, 2018
","Japan, North America, Europe
"

" Indie Highlights
","Indie games for the Nintendo Switch
","August 20, 2018
","Europe
"

" Nindies Showcase
","Indie games for the Nintendo Switch
","August 28, 2018
","North America
"

" Dragalia Lost Direct
","Dragalia Lost
","August 29, 2018
","Japan, North America
"

" Nintendo Direct
","Nintendo Switch and Nintendo 3DS games
","September 13, 2018[ii]
","Japan, North America, Europe, Australia
"

" Super Smash Bros. Ultimate Direct
","Super Smash Bros. Ultimate
","November 1, 2018
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Feh Channel
","Fire Emblem Heroes
","November 7, 2018
","Japan, North America, Europe
"

" Indie World
","Indie games for the Nintendo Switch
","December 27, 2018
","Japan
"

" Indie Highlights
","Indie games for the Nintendo Switch
","January 23, 2019
","Europe
"

" Feh Channel
","Fire Emblem Heroes
","February 1, 2019
","Japan, North America, Europe
"

" Nintendo Direct
","Nintendo Switch games, with a focus on Fire Emblem: Three Houses
","February 13, 2019
","Japan, North America, Europe, Australia
"

" Pokթmon Direct
","Pokթmon Sword and Shield
","February 27, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong
"

" Nindies Showcase
","Indie games for the Nintendo Switch
","March 20, 2019
","North America
"

" Dragalia Digest
","Dragalia Lost
","March 24, 2019
","Japan, North America, Europe
"

" Feh Channel
","Fire Emblem Heroes
","April 4, 2019
","Japan, North America, Europe
"

" Super Smash Bros. Ultimate _�� New Content Approaching
","Super Smash Bros. Ultimate DLC
","April 16, 2019
","Japan, North America, Europe, Australia, South Korea, Hong Kong, Taiwan
"

" Nintendo Direct
","Super Mario Maker 2
","May 15, 2019
","Japan, North America, Europe, Australia
"

" Indie World
","Indie games for the Nintendo Switch
","May 31, 2019
","Japan
"

